timestamp,latitude,longitude,speed,heading,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw
0,12.9,77.50001,5.0,90.0,0.02,0.01,9.8,0.001,0.001,0.002,0.0,0.0,90.0
1,12.899999999994183,77.50002,5.0,90.0000333332716,0.02,0.01,9.8,0.001,0.001,0.002,0.03999733338666616,0.014285228382023339,90.0000333332716
2,12.89999999997673,77.50003000000001,5.0,90.00009999944444,0.02,0.01,9.8,0.001,0.001,0.002,0.07997866837326832,0.028567541460896143,90.00009999944444
3,12.899999999941825,77.50004000000001,5.0,90.00019999777778,0.02,0.01,9.8,0.001,0.001,0.002,0.11992801295888919,0.04284402452841759,90.00019999777778
4,12.899999999883649,77.50005000000002,5.0,90.00033332716053,0.02,0.01,9.8,0.001,0.001,0.002,0.1598293879383454,0.057111764066164854,90.00033332716053
5,12.899999999796385,77.50006000000002,5.0,90.00049998611125,0.02,0.01,9.8,0.001,0.001,0.002,0.1996668332936563,0.07136784834007859,90.00049998611125
6,12.899999999674217,77.50007000000002,5.0,90.00069997277818,0.02,0.01,9.8,0.001,0.001,0.002,0.23942441457783872,0.08560936799468429,90.00069997277818
7,12.899999999511328,77.50008000000003,5.0,90.00093328493925,0.02,0.01,9.8,0.001,0.001,0.002,0.279086229288473,0.09983341664682815,90.00093328493925
8,12.899999999301903,77.50009000000003,5.0,90.00119992000211,0.02,0.01,9.8,0.001,0.001,0.002,0.31863641322849195,0.11403709147880647,90.00119992000211
9,12.899999999040125,77.50010000000003,5.0,90.00149987500413,0.02,0.01,9.8,0.001,0.001,0.002,0.35805914685164836,0.1282174938307673,90.00149987500413
10,12.89999999872018,77.50011000000002,5.0,90.0018331466125,0.02,0.01,9.8,0.001,0.001,0.002,0.39733866159012243,0.14237172979226365,90.0018331466125
11,12.899999998336254,77.50012000000001,5.0,90.0021997311242,0.02,0.01,9.8,0.001,0.001,0.002,0.43645924616173865,0.1564969107928374,90.0021997311242
12,12.899999997882533,77.50013,5.0,90.00259962446606,0.02,0.01,9.8,0.001,0.001,0.002,0.47540525285426916,0.1705901541915134,90.00259962446606
13,12.899999997353206,77.50013999999999,5.0,90.00303282219484,0.02,0.01,9.8,0.001,0.001,0.002,0.5141611037843102,0.1846485838650837,90.00303282219484
14,12.899999996742459,77.50014999999996,5.0,90.00349931949724,0.02,0.01,9.8,0.001,0.001,0.002,0.5527112971282275,0.19866933079506122,90.00349931949724
15,12.899999996044482,77.50015999999994,5.0,90.00399911118994,0.02,0.01,9.8,0.001,0.001,0.002,0.5910404133226791,0.21264953365318406,90.00399911118994
16,12.899999995253465,77.50016999999991,5.0,90.00453219171972,0.02,0.01,9.8,0.001,0.001,0.002,0.6291331212322355,0.22658633938534994,90.00453219171972
17,12.899999994363599,77.50017999999987,5.0,90.00509855516347,0.02,0.01,9.8,0.001,0.001,0.002,0.6669741842816288,0.2404769037938623,90.00509855516347
18,12.899999993369077,77.50018999999982,5.0,90.00569819522826,0.02,0.01,9.8,0.001,0.001,0.002,0.7045484665501799,0.25431839211786883,90.00569819522826
19,12.89999999226409,77.50019999999975,5.0,90.00633110525143,0.02,0.01,9.8,0.001,0.001,0.002,0.7418409388259654,0.26810797961187444,90.00633110525143
20,12.899999991042835,77.50020999999968,5.0,90.00699727820067,0.02,0.01,9.8,0.001,0.001,0.002,0.778836684617301,0.28184285212220994,90.00699727820067
21,12.899999989699506,77.50021999999959,5.0,90.00769670667405,0.02,0.01,9.8,0.001,0.001,0.002,0.8155209061191403,0.29552020666133955,90.00769670667405
22,12.8999999882283,77.50022999999948,5.0,90.00842938290015,0.02,0.01,9.8,0.001,0.001,0.002,0.8518789301319992,0.3091372519798892,90.00842938290015
23,12.899999986623419,77.50023999999935,5.0,90.00919529873812,0.02,0.01,9.8,0.001,0.001,0.002,0.8878962139310396,0.32269120913627986,90.00919529873812
24,12.89999998487906,77.5002499999992,5.0,90.00999444567782,0.02,0.01,9.8,0.001,0.001,0.002,0.9235583510829657,0.33617931206384843,90.00999444567782
25,12.899999982989424,77.50025999999902,5.0,90.01082681483982,0.02,0.01,9.8,0.001,0.001,0.002,0.958851077208406,0.34959880813534205,90.01082681483982
26,12.899999980948715,77.5002699999988,5.0,90.01169239697559,0.02,0.01,9.8,0.001,0.001,0.002,0.9937602756874735,0.36294695872466876,90.01169239697559
27,12.89999997875114,77.50027999999857,5.0,90.01259118246757,0.02,0.01,9.8,0.001,0.001,0.002,1.0282719833062262,0.3762210397657915,90.01259118246757
28,12.899999976390903,77.50028999999829,5.0,90.01352316132926,0.02,0.01,9.8,0.001,0.001,0.002,1.0623723958417668,0.3894183423086505,90.01352316132926
29,12.899999973862213,77.50029999999796,5.0,90.01448832320534,0.02,0.01,9.8,0.001,0.001,0.002,1.0960478735837471,0.4025361730720008,90.01448832320534
30,12.899999971159282,77.5003099999976,5.0,90.01548665737181,0.02,0.01,9.8,0.001,0.001,0.002,1.1292849467900707,0.415571854993052,90.01548665737181
31,12.89999996827632,77.50031999999719,5.0,90.01651815273607,0.02,0.01,9.8,0.001,0.001,0.002,1.1620703210746102,0.42852272777379863,90.01651815273607
32,12.899999965207543,77.50032999999672,5.0,90.01758279783708,0.02,0.01,9.8,0.001,0.001,0.002,1.1943908827247842,0.44138614842392854,90.01758279783708
33,12.899999961947167,77.50033999999619,5.0,90.01868058084546,0.02,0.01,9.8,0.001,0.001,0.002,1.2262337039468676,0.4541594918001997,90.01868058084546
34,12.89999995848941,77.50034999999559,5.0,90.01981148956361,0.02,0.01,9.8,0.001,0.001,0.002,1.2575860480369372,0.4668401511421746,90.01981148956361
35,12.899999954828493,77.50035999999493,5.0,90.02097551142592,0.02,0.01,9.8,0.001,0.001,0.002,1.288435374475382,0.479425538604203,90.02097551142592
36,12.89999995095864,77.50036999999418,5.0,90.02217263349881,0.02,0.01,9.8,0.001,0.001,0.002,1.3187693439429462,0.49191308578354476,90.02217263349881
37,12.899999946874074,77.50037999999334,5.0,90.02340284248093,0.02,0.01,9.8,0.001,0.001,0.002,1.34857582325629,0.5043002442445251,90.02340284248093
38,12.899999942569023,77.50038999999242,5.0,90.02466612470333,0.02,0.01,9.8,0.001,0.001,0.002,1.3778428902211026,0.5165844860386138,90.02466612470333
39,12.899999938037718,77.5003999999914,5.0,90.02596246612953,0.02,0.01,9.8,0.001,0.001,0.002,1.4065588384008205,0.5287633042203256,90.02596246612953
40,12.89999993327439,77.50040999999027,5.0,90.02729185235575,0.02,0.01,9.8,0.001,0.001,0.002,1.4347121817990456,0.5408342133588315,90.02729185235575
41,12.899999928273278,77.50041999998902,5.0,90.02865426861105,0.02,0.01,9.8,0.001,0.001,0.002,1.4622916594537916,0.5527947500451822,90.02865426861105
42,12.899999923028616,77.50042999998765,5.0,90.0300496997575,0.02,0.01,9.8,0.001,0.001,0.002,1.4892862399417186,0.5646424733950354,90.0300496997575
43,12.899999917534647,77.50043999998614,5.0,90.0314781302903,0.02,0.01,9.8,0.001,0.001,0.002,1.515685125790554,0.576374965546787,90.0314781302903
44,12.899999911785612,77.50044999998448,5.0,90.03293954433802,0.02,0.01,9.8,0.001,0.001,0.002,1.5414777577979386,0.5879898321550044,90.03293954433802
45,12.899999905775758,77.50045999998268,5.0,90.03443392566275,0.02,0.01,9.8,0.001,0.001,0.002,1.5666538192549668,0.5994847028790594,90.03443392566275
46,12.899999899499335,77.50046999998071,5.0,90.03596125766028,0.02,0.01,9.8,0.001,0.001,0.002,1.591203240072732,0.6108572318668631,90.03596125766028
47,12.899999892950595,77.50047999997857,5.0,90.03752152336024,0.02,0.01,9.8,0.001,0.001,0.002,1.6151162008102284,0.6221050982336039,90.03752152336024
48,12.89999988612379,77.50048999997624,5.0,90.03911470542639,0.02,0.01,9.8,0.001,0.001,0.002,1.6383831366019965,0.6332260065353882,90.03911470542639
49,12.899999879013183,77.50049999997371,5.0,90.0407407861567,0.02,0.01,9.8,0.001,0.001,0.002,1.660994740983941,0.644217687237691,90.0407407861567
50,12.899999871613032,77.50050999997097,5.0,90.04239974748364,0.02,0.01,9.8,0.001,0.001,0.002,1.682941969615793,0.6550778971785186,90.04239974748364
